designation,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,miss_distance_min_au,miss_distance_mean_au,relative_velocity_max_kms,n_close_approaches,is_potentially_hazardous_asteroid
523599,523599 (2003 RM),19.63,0.3151773333,0.7047579421,0.1409565833,0.17495922363333336,10.4077903419,3,0
523603,523603 (2004 QJ7),18.62,0.5018281006,1.1221217459,0.0896760738,0.13400049548181817,13.5011092702,11,0
509353,509353 (2007 AT2),19.71,0.3037770614,0.6792661593,0.1098493202,0.1352408389111111,11.7709859792,9,0
509456,509456 (2007 LF),20.57,0.204434871,0.4571302686,0.0602750404,0.20766177095199997,19.5900610537,25,1
509505,509505 (2007 VL8),21.24,0.1501602479,0.3357685218,0.1101344126,0.1558110175857143,16.2206634984,35,0
509821,509821 (2008 WQ63),20.18,0.2446554962,0.5470663205,0.0152748074,0.12018384337333334,22.8033521175,15,1
510073,510073 (2010 JF88),18.56,0.5158874663,1.1535594433,0.2394980599,0.30296880862758613,29.9032090463,29,0
510238,510238 (2011 FC29),20.72,0.1907897226,0.4266187892,0.1134986684,0.14259464550370374,18.3319680471,27,0
511520,511520 (2014 QW296),18.77,0.4683332331,1.0472249454,0.3390878878,0.39371629279375,5.3130639707,16,0
513171,513171 (2004 MD6),20.48,0.2130860292,0.4764748465,0.0097207833,0.33849809777685186,35.1174462005,108,1
